Date,Open,High,Low,Close,Adj Close,Volume
1978-06-12,1.570452,1.587018,1.553886,1.553886,0.376117,2078813
1978-06-13,1.553886,1.570452,1.537320,1.570452,0.380127,2697552
1978-06-14,1.580391,1.603584,1.580391,1.587018,0.384137,3848256
1978-06-15,1.587018,1.596957,1.530693,1.540633,0.372909,1452528
1978-06-16,1.540633,1.560512,1.540633,1.547259,0.374513,1399709
1978-06-19,1.547259,1.557199,1.537320,1.557199,0.376919,1411027
1978-06-20,1.550573,1.550573,1.517441,1.517441,0.367296,3055968
1978-06-21,1.517441,1.517441,1.500875,1.514127,0.366494,1792080
1978-06-22,1.514127,1.517441,1.504188,1.504188,0.364088,1331798
1978-06-23,1.504188,1.514127,1.484309,1.484309,0.359276,1297843
1978-06-26,1.484309,1.487622,1.444550,1.451177,0.351257,1769443
1978-06-27,1.451177,1.480996,1.444550,1.464430,0.354464,2078813
1978-06-28,1.464430,1.484309,1.461116,1.480996,0.358474,1626077
1978-06-29,1.480996,1.494248,1.471056,1.477682,0.357672,1116749
1978-06-30,1.477682,1.480996,1.461116,1.471056,0.356068,1509120
1978-07-03,1.467743,1.467743,1.454490,1.464430,0.354464,267869
1978-07-05,1.461116,1.461116,1.451177,1.454490,0.352059,2191997
1978-07-06,1.454490,1.471056,1.447864,1.471056,0.356068,1467619
1978-07-07,1.471056,1.490935,1.464430,1.480996,0.358474,1463846
1978-07-10,1.480996,1.504188,1.467743,1.490935,0.360880,1082794
1978-07-11,1.504188,1.543946,1.504188,1.530693,0.370503,3565296
1978-07-12,1.540633,1.560512,1.540633,1.543946,0.373712,1924128
1978-07-13,1.543946,1.550573,1.524067,1.530693,0.370503,1411027
1978-07-14,1.530693,1.570452,1.527380,1.567138,0.379325,1584576
1978-07-17,1.587018,1.623463,1.587018,1.603584,0.388147,3338928
1978-07-18,1.603584,1.610210,1.577078,1.590331,0.384939,1826035
1978-07-19,1.590331,1.610210,1.583704,1.610210,0.389751,1494029
1978-07-20,1.610210,1.620149,1.580391,1.580391,0.382533,2248589
1978-07-21,1.580391,1.590331,1.570452,1.590331,0.384939,2029766
1978-07-24,1.590331,1.590331,1.563825,1.583704,0.383335,1795853
1978-07-25,1.570452,1.570452,1.527380,1.543946,0.373712,3452112
1978-07-26,1.543946,1.563825,1.527380,1.557199,0.376919,2165587
1978-07-27,1.557199,1.560512,1.537320,1.550573,0.375315,1829808
1978-07-28,1.550573,1.570452,1.550573,1.570452,0.380127,1595894
1978-07-31,1.577078,1.603584,1.577078,1.600270,0.387345,969610
1978-08-01,1.600270,1.623463,1.583704,1.613523,0.390552,2905056
1978-08-02,1.613523,1.653281,1.603584,1.649968,0.399374,3063514
1978-08-03,1.676474,1.702979,1.676474,1.696353,0.410601,7168320
1978-08-04,1.693040,1.693040,1.663221,1.673161,0.404988,2361773
1978-08-07,1.673161,1.679787,1.643342,1.643342,0.397770,1116749
1978-08-08,1.643342,1.663221,1.643342,1.653281,0.400176,1124294
1978-08-09,1.653281,1.689726,1.643342,1.653281,0.400176,1558166
1978-08-10,1.653281,1.659908,1.616836,1.623463,0.392958,1361981
1978-08-11,1.623463,1.630089,1.610210,1.616836,0.391354,1169568
1978-08-14,1.616836,1.623463,1.596957,1.610210,0.389751,1399709
1978-08-15,1.610210,1.626776,1.600270,1.606897,0.388949,1256342
1978-08-16,1.606897,1.623463,1.593644,1.596957,0.386543,1305389
1978-08-17,1.596957,1.613523,1.590331,1.590331,0.384939,1976947
1978-08-18,1.590331,1.600270,1.577078,1.577078,0.381731,2742826
1978-08-21,1.577078,1.583704,1.560512,1.560512,0.377721,1494029
1978-08-22,1.560512,1.623463,1.560512,1.620149,0.392156,1935446
1978-08-23,1.616836,1.616836,1.603584,1.616836,0.391354,4036896
1978-08-24,1.616836,1.620149,1.596957,1.613523,0.390552,1339344
1978-08-25,1.610210,1.610210,1.593644,1.603584,0.388147,1418573
1978-08-28,1.583704,1.583704,1.563825,1.570452,0.382816,1569485
1978-08-29,1.573765,1.590331,1.573765,1.577078,0.384431,2354227
1978-08-30,1.577078,1.587018,1.563825,1.580391,0.385239,1565712
1978-08-31,1.580391,1.610210,1.570452,1.610210,0.392508,2927693
1978-09-01,1.610210,1.630089,1.603584,1.623463,0.395738,2727734
1978-09-05,1.630089,1.649968,1.630089,1.649968,0.402199,1954310
1978-09-06,1.656595,1.683100,1.656595,1.676474,0.408661,4334947
1978-09-07,1.676474,1.706292,1.673161,1.706292,0.415929,7783286
1978-09-08,1.709606,1.732798,1.709606,1.729485,0.421583,2686234
1978-09-11,1.739424,1.759303,1.739424,1.742737,0.424813,3482294
1978-09-12,1.736111,1.736111,1.712919,1.722858,0.419967,1931674
1978-09-13,1.722858,1.736111,1.669847,1.673161,0.407853,1629850
1978-09-14,1.663221,1.663221,1.636715,1.636715,0.398969,2018448
1978-09-15,1.636715,1.646655,1.620149,1.633402,0.398161,2418365
1978-09-18,1.633402,1.653281,1.620149,1.636715,0.398969,2505139
1978-09-19,1.636715,1.666534,1.636715,1.649968,0.402199,1512893
1978-09-20,1.649968,1.656595,1.620149,1.630089,0.397354,1626077
1978-09-21,1.630089,1.633402,1.596957,1.610210,0.392508,3644525
1978-09-22,1.610210,1.630089,1.596957,1.606897,0.391700,2410819
1978-09-25,1.603584,1.603584,1.573765,1.590331,0.387662,1245024
1978-09-26,1.590331,1.590331,1.577078,1.583704,0.386047,1629850
1978-09-27,1.583704,1.596957,1.550573,1.557199,0.379586,1867536
1978-09-28,1.557199,1.577078,1.550573,1.577078,0.384431,1312934
1978-09-29,1.577078,1.590331,1.577078,1.590331,0.387662,2059949
1978-10-02,1.590331,1.630089,1.583704,1.596957,0.389277,3176698
1978-10-03,1.596957,1.596957,1.580391,1.580391,0.385239,1569485
1978-10-04,1.580391,1.587018,1.553886,1.577078,0.384431,1505347
1978-10-05,1.577078,1.577078,1.550573,1.550573,0.377971,1844899
1978-10-06,1.550573,1.570452,1.543946,1.543946,0.376355,1124294
1978-10-09,1.553886,1.596957,1.553886,1.590331,0.387662,1516666
1978-10-10,1.590331,1.596957,1.573765,1.583704,0.386047,1712851
1978-10-11,1.583704,1.606897,1.580391,1.603584,0.390893,2263680
1978-10-12,1.600270,1.600270,1.577078,1.577078,0.384431,2305181
1978-10-13,1.577078,1.590331,1.577078,1.577078,0.384431,1471392
1978-10-16,1.577078,1.577078,1.547259,1.547259,0.377162,1452528
1978-10-17,1.537320,1.537320,1.497561,1.517441,0.369894,2444774
1978-10-18,1.517441,1.534007,1.510814,1.510814,0.368279,1003565
1978-10-19,1.514127,1.530693,1.514127,1.514127,0.369086,1343117
1978-10-20,1.514127,1.527380,1.497561,1.497561,0.365048,1603440
1978-10-23,1.497561,1.527380,1.497561,1.524067,0.371509,1799626
1978-10-24,1.524067,1.530693,1.510814,1.514127,0.369086,1090339
1978-10-25,1.514127,1.517441,1.477682,1.497561,0.365048,1580803
1978-10-26,1.490935,1.490935,1.461116,1.477682,0.360202,2025994
1978-10-27,1.477682,1.484309,1.457803,1.457803,0.355357,1494029
1978-10-30,1.457803,1.543946,1.424671,1.543946,0.376355,1920355
1978-10-31,1.527380,1.527380,1.471056,1.490935,0.363433,1826035
1978-11-01,1.537320,1.630089,1.537320,1.630089,0.397354,4119898
1978-11-02,1.610210,1.610210,1.563825,1.570452,0.382816,3357792
1978-11-03,1.570452,1.590331,1.550573,1.583704,0.386047,1826035
1978-11-06,1.583704,1.610210,1.577078,1.577078,0.384431,2256134
1978-11-07,1.563825,1.563825,1.547259,1.547259,0.377162,1263888
1978-11-08,1.547259,1.553886,1.524067,1.550573,0.377971,1109203
1978-11-09,1.550573,1.560512,1.534007,1.534007,0.373932,1603440
1978-11-10,1.534007,1.550573,1.530693,1.537320,0.374740,946973
1978-11-13,1.537320,1.550573,1.520754,1.537320,0.374740,1233706
1978-11-14,1.534007,1.534007,1.504188,1.530693,0.373124,1090339
1978-11-15,1.530693,1.543946,1.510814,1.510814,0.368279,2041085
1978-11-16,1.510814,1.553886,1.510814,1.550573,0.377971,1358208
1978-11-17,1.560512,1.583704,1.560512,1.573765,0.383624,3395520
1978-11-20,1.573765,1.590331,1.573765,1.583704,0.386047,2037312
1978-11-21,1.577078,1.577078,1.560512,1.570452,0.382816,1029974
1978-11-22,1.570452,1.577078,1.553886,1.553886,0.378778,1546848
1978-11-24,1.553886,1.563825,1.550573,1.563825,0.381201,445190
1978-11-27,1.563825,1.577078,1.553886,1.563825,0.381201,845107
1978-11-28,1.563825,1.596957,1.563825,1.577078,0.384431,4274582
1978-11-29,1.570452,1.570452,1.540633,1.540633,0.375548,1697760
1978-11-30,1.547259,1.583704,1.547259,1.583704,0.386047,2237270
1978-12-01,1.596957,1.630089,1.596957,1.630089,0.397354,3780346
1978-12-04,1.630089,1.669847,1.623463,1.649968,0.405330,6406214
1978-12-05,1.649968,1.736111,1.649968,1.736111,0.426492,3912394
1978-12-06,1.736111,1.736111,1.699666,1.699666,0.417539,2671142
1978-12-07,1.699666,1.732798,1.689726,1.712919,0.420795,4625453
1978-12-08,1.712919,1.759303,1.706292,1.749364,0.429747,3953894
1978-12-11,1.749364,1.759303,1.729485,1.742737,0.428120,1875082
1978-12-12,1.742737,1.755990,1.726172,1.729485,0.424864,2437229
1978-12-13,1.729485,1.729485,1.683100,1.689726,0.415097,4029350
1978-12-14,1.693040,1.712919,1.693040,1.709606,0.419980,1920355
1978-12-15,1.709606,1.709606,1.689726,1.689726,0.415097,1863763
1978-12-18,1.663221,1.663221,1.626776,1.656595,0.406958,2927693
1978-12-19,1.656595,1.696353,1.649968,1.683100,0.413469,2188224
1978-12-20,1.686413,1.775869,1.686413,1.775869,0.436259,3780346
1978-12-21,1.775869,1.815628,1.772556,1.779183,0.437073,4451904
1978-12-22,1.779183,1.809001,1.775869,1.809001,0.444398,2407046
1978-12-26,1.809001,1.835507,1.795749,1.832194,0.450096,1822262
1978-12-27,1.812314,1.812314,1.775869,1.802375,0.442770,3459658
1978-12-28,1.802375,1.809001,1.785809,1.795749,0.441142,3248381
1978-12-29,1.795749,1.809001,1.789122,1.792435,0.440328,1312934
1979-01-02,1.792435,1.799062,1.759303,1.799062,0.441956,2327818
